Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      2.86     0.00        2     0.00     0.00  caml_install_signal_handler
  0.00      2.86     0.00        2     0.00     0.00  caml_ml_close_channel
  0.00      2.86     0.00        2     0.00     0.00  caml_ml_open_descriptor_in
  0.00      2.86     0.00        2     0.00     0.00  caml_ml_set_channel_name
  0.00      2.86     0.00        2     0.00     0.00  caml_obj_block
  0.00      2.86     0.00        2     0.00     0.00  caml_raise
  0.00      2.86     0.00        2     0.00     0.00  caml_raise_constant
  0.00      2.86     0.00        2     0.00     0.00  caml_raise_not_found
  0.00      2.86     0.00        2     0.00     0.00  caml_really_getblock
  0.00      2.86     0.00        2     0.00     0.00  caml_really_putblock
  0.00      2.86     0.00        2     0.00     0.00  caml_set_signal_action
  0.00      2.86     0.00        2     0.00     0.00  caml_sys_check_path
  0.00      2.86     0.00        2     0.00     0.00  caml_sys_getenv
  0.00      2.86     0.00        2     0.00     0.00  caml_sys_open
  0.00      2.86     0.00        2     0.00     0.00  caml_sys_time_include_children_unboxed
  0.00      2.86     0.00        2     0.00     0.00  caml_sys_time_unboxed
  0.00      2.86     0.00        2     0.00     0.00  do_compaction
  0.00      2.86     0.00        1     0.00     0.00  camlArrayLabels__entry
  0.00      2.86     0.00        1     0.00     0.00  camlArray__entry
  0.00      2.86     0.00        1     0.00     0.00  camlBuffer__create_1209
  0.00      2.86     0.00        1     0.00     0.00  camlBuffer__entry
  0.00      2.86     0.00        1     0.00     0.00  camlBytes__copy_1226
  0.00      2.86     0.00        1     0.00     0.00  camlBytes__entry
  0.00      2.86     0.00        1     0.00     0.00  camlCallback__entry
  0.00      2.86     0.00        1     0.00     0.00  camlCallback__register_exception_1265
  0.00      2.86     0.00        1     0.00     0.00  camlCamlinternalFormatBasics__entry
  0.00      2.86     0.00        1     0.00     0.00  camlCamlinternalFormat__entry
  0.00      2.86     0.00        1     0.00     0.00  camlCamlinternalLazy__entry
  0.00      2.86     0.00        1     0.00     0.00  camlCamlinternalOO__entry
  0.00      2.86     0.00        1     0.00     0.00  camlChar__entry
  0.00      2.86     0.00        1     0.00     0.00  camlDigest__entry
  0.00      2.86     0.00        1     0.00     2.41  camlEvo_tkn__entry
  0.00      2.86     0.00        1     0.00     0.00  camlEvo_tkn__fun_2642
  0.00      2.86     0.00        1     0.00     0.00  camlEvo_tkn__fun_2645
  0.00      2.86     0.00        1     0.00     0.00  camlGc__entry
  0.00      2.86     0.00        1     0.00     0.00  camlHashtbl__MakeSeeded_1584
  0.00      2.86     0.00        1     0.00     0.00  camlHashtbl__Make_1702
  0.00      2.86     0.00        1     0.00     0.00  camlHashtbl__create_inner_2188
  0.00      2.86     0.00        1     0.00     0.00  camlHashtbl__entry
  0.00      2.86     0.00        1     0.00     0.00  camlHashtbl__power_2_above_1333
  0.00      2.86     0.00        1     0.00     0.00  camlImp__entry
  0.00      2.86     0.00        1     0.00     0.00  camlInt32__entry
  0.00      2.86     0.00        1     0.00     0.00  camlInt64__entry
  0.00      2.86     0.00        1     0.00     0.00  camlList__entry
  0.00      2.86     0.00        1     0.00     0.00  camlMap__entry
  0.00      2.86     0.00        1     0.00     0.00  camlMarshal__entry
  0.00      2.86     0.00        1     0.00     0.00  camlNativeint__entry
  0.00      2.86     0.00        1     0.00     0.00  camlObj__entry
  0.00      2.86     0.00        1     0.00     0.00  camlPeg__entry
  0.00      2.86     0.00        1     0.00     0.00  camlPervasives__at_exit_1391
  0.00      2.86     0.00        1     0.00     0.00  camlPervasives__close_out_1236
  0.00      2.86     0.00        1     0.00     0.00  camlPervasives__entry
  0.00      2.86     0.00        1     0.00     0.00  camlPervasives__exit_1398
