Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.32     0.00       23     0.00     0.00  caml_final_update_clean_phase
  0.00      0.32     0.00       23     0.00     0.00  caml_final_update_mark_phase
  0.00      0.32     0.00       23     0.00     0.00  caml_scan_global_roots
  0.00      0.32     0.00       23     0.00     0.00  clean_slice
  0.00      0.32     0.00       23     0.00     0.00  init_sweep_phase
  0.00      0.32     0.00       23     0.00     0.29  mark_slice
  0.00      0.32     0.00       23     0.00     0.15  start_cycle
  0.00      0.32     0.00       22     0.00     0.00  camlImp_parser___menhir_goto_gl_etr_lst_3186
  0.00      0.32     0.00       22     0.00     0.00  camlImp_parser___menhir_goto_mdl_end_3144
  0.00      0.32     0.00       22     0.00     0.00  camlImp_parser___menhir_goto_mdl_etr_3169
  0.00      0.32     0.00       22     0.00     0.00  camlImp_parser___menhir_reduce54_3230
  0.00      0.32     0.00       22     0.00     0.00  camlImp_parser___menhir_reduce84_3101
  0.00      0.32     0.00       22     0.00     0.00  caml_compact_heap_maybe
  0.00      0.32     0.00       22     0.00     0.00  caml_fresh_oo_id
  0.00      0.32     0.00       22     0.00     0.00  caml_request_minor_gc
  0.00      0.32     0.00       20     0.00     0.00  camlImp_parser___menhir_goto_grm_clq_3072
  0.00      0.32     0.00       20     0.00     0.00  camlImp_parser___menhir_run256_3233
  0.00      0.32     0.00       17     0.00     0.00  camlImp_parser___menhir_run264_3161
  0.00      0.32     0.00       17     0.00     0.00  camlImp_parser___menhir_run265_3162
  0.00      0.32     0.00       14     0.00     0.00  camlImp_parser___menhir_run71_3200
  0.00      0.32     0.00       14     0.00     0.00  camlMap__Make_1243
  0.00      0.32     0.00       14     0.00     0.00  camlMap__fun_2919
  0.00      0.32     0.00       14     0.00     0.00  caml_enter_blocking_section
  0.00      0.32     0.00       14     0.00     0.00  caml_leave_blocking_section
  0.00      0.32     0.00       13     0.00     0.00  camlImp_parser___menhir_goto_def_typ_clique_3110
  0.00      0.32     0.00       12     0.00     0.00  camlImp_parser___menhir_run329_3074
  0.00      0.32     0.00        7     0.00     0.00  camlImp_parser___menhir_run267_3102
  0.00      0.32     0.00        7     0.00     0.00  caml_read_fd
  0.00      0.32     0.00        7     0.00     0.00  caml_string_is_c_safe
  0.00      0.32     0.00        6     0.00     0.00  alloc_generic_table
  0.00      0.32     0.00        6     0.00     0.00  camlPervasives__string_of_int_1150
  0.00      0.32     0.00        6     0.00     0.00  camlWeak__create_1352
  0.00      0.32     0.00        6     0.00     0.00  caml_adjust_gc_speed
  0.00      0.32     0.00        6     0.00     0.00  caml_alloc_channel
  0.00      0.32     0.00        6     0.00     0.00  caml_alloc_sprintf
  0.00      0.32     0.00        6     0.00     0.00  caml_format_int
  0.00      0.32     0.00        6     0.00     0.00  caml_insert_global_root
  0.00      0.32     0.00        6     0.00     0.00  caml_int64_float_of_bits_unboxed
  0.00      0.32     0.00        6     0.00     0.00  caml_register_global_root
  0.00      0.32     0.00        6     0.00     0.00  caml_secure_getenv
  0.00      0.32     0.00        6     0.00     0.00  parse_format
  0.00      0.32     0.00        5     0.00     0.00  camlImp_parser___menhir_run276_3105
  0.00      0.32     0.00        5     0.00     0.00  caml_ephe_create
  0.00      0.32     0.00        5     0.00     0.00  caml_register_custom_operations
  0.00      0.32     0.00        5     0.00     0.00  caml_weak_create
  0.00      0.32     0.00        4     0.00     0.00  camlImp_parser___menhir_goto_grm_rule_act_end_3093
  0.00      0.32     0.00        4     0.00     0.00  camlImp_parser___menhir_goto_grm_rule_seq_3071
  0.00      0.32     0.00        4     0.00     0.00  camlImp_parser___menhir_run313_3076
  0.00      0.32     0.00        4     0.00     0.00  camlList__iter_1272
  0.00      0.32     0.00        4     0.00     0.00  caml_copy_string
  0.00      0.32     0.00        4     0.00     0.00  caml_final_register
  0.00      0.32     0.00        4     0.00     0.00  caml_flush
  0.00      0.32     0.00        4     0.00     0.00  caml_flush_partial
  0.00      0.32     0.00        4     0.00     0.00  caml_ml_flush
  0.00      0.32     0.00        4     0.00     0.00  caml_open_descriptor_in
  0.00      0.32     0.00        4     0.00     0.00  caml_register_named_value
  0.00      0.32     0.00        4     0.00     0.00  generic_final_register
  0.00      0.32     0.00        3     0.00     0.00  camlArray__blit_1246
  0.00      0.32     0.00        3     0.00     0.38  camlArray__init_1217
  0.00      0.32     0.00        3     0.00     0.00  camlImp_parser___menhir_run268_3099
  0.00      0.32     0.00        3     0.00     0.03  camlLang__alc_blk_r_3980
  0.00      0.32     0.00        3     0.00     0.00  camlLang__init_ns_2568
  0.00      0.32     0.00        3     0.00     0.00  camlPervasives__min_1027
  0.00      0.32     0.00        3     0.00     0.00  camlPervasives__output_string_1213
  0.00      0.32     0.00        3     0.00     0.00  camlSet__Make_1245
  0.00      0.32     0.00        3     0.00     0.00  camlSet__fun_2940
  0.00      0.32     0.00        3     0.00     0.00  camlWeak__add_1431
  0.00      0.32     0.00        3     0.00     0.00  camlWeak__add_aux_1403
  0.00      0.32     0.00        3     0.00     0.00  camlWeak__fun_1843
  0.00      0.32     0.00        3     0.00     0.00  camlWeak__loop_1425
  0.00      0.32     0.00        3     0.00     0.00  caml_array_blit
  0.00      0.32     0.00        3     0.00     0.00  caml_enter_blocking_section_default
  0.00      0.32     0.00        3     0.00     0.00  caml_ephe_blit_key
  0.00      0.32     0.00        3     0.00     0.00  caml_ephe_set_key_option
  0.00      0.32     0.00        3     0.00     0.00  caml_leave_blocking_section_default
  0.00      0.32     0.00        3     0.00     0.00  caml_lessequal
  0.00      0.32     0.00        3     0.00     0.00  caml_ml_output
  0.00      0.32     0.00        3     0.00     0.00  caml_ml_output_bytes
  0.00      0.32     0.00        3     0.00     0.00  caml_weak_blit
  0.00      0.32     0.00        3     0.00     0.00  caml_weak_set
  0.00      0.32     0.00        3     0.00     0.00  compare_val
  0.00      0.32     0.00        3     0.00     0.00  do_set
  0.00      0.32     0.00        2     0.00     0.00  camlBytes__copy_1226
  0.00      0.32     0.00        2     0.00     0.00  camlBytes__make_1216
  0.00      0.32     0.00        2     0.00     0.00  camlCamlinternalFormat__make_printf_62490
  0.00      0.32     0.00        2     0.00     0.00  camlImp_lexer____ocaml_lex_blk_cmt_rec_1216
  0.00      0.32     0.00        2     0.00     0.00  camlImp_lexer__blk_cmt_1215
  0.00      0.32     0.00        2     0.00     0.00  camlImp_parser___menhir_goto_grm_ord_3068
  0.00      0.32     0.00        2     0.00     0.00  camlImp_parser___menhir_goto_grm_rule_3069
  0.00      0.32     0.00        2     0.00     0.00  camlImp_parser___menhir_run128_3178
  0.00      0.32     0.00        2     0.00     0.00  camlImp_parser___menhir_run143_3155
  0.00      0.32     0.00        2     0.00     0.00  camlImp_parser___menhir_run46_3189
  0.00      0.32     0.00        2     0.00     0.00  camlSys__set_signal_1250
  0.00      0.32     0.00        2     0.00     0.00  camlWeak__Make_1293
  0.00      0.32     0.00        2     0.00     0.00  caml_convert_signal_number
  0.00      0.32     0.00        2     0.00     0.00  caml_cplugins_load
  0.00      0.32     0.00        2     0.00     0.00  caml_fill_bytes
  0.00      0.32     0.00        2     0.00     0.00  caml_install_signal_handler
  0.00      0.32     0.00        2     0.00     0.00  caml_ml_open_descriptor_in
  0.00      0.32     0.00        2     0.00     0.00  caml_ml_open_descriptor_out
  0.00      0.32     0.00        2     0.00     0.00  caml_obj_block
  0.00      0.32     0.00        2     0.00     0.00  caml_obj_tag
  0.00      0.32     0.00        2     0.00     0.00  caml_open_descriptor_out
  0.00      0.32     0.00        2     0.00     0.00  caml_putblock
  0.00      0.32     0.00        2     0.00     0.00  caml_raise
  0.00      0.32     0.00        2     0.00     0.00  caml_raise_constant
  0.00      0.32     0.00        2     0.00     0.00  caml_raise_not_found
  0.00      0.32     0.00        2     0.00     0.00  caml_set_signal_action
  0.00      0.32     0.00        2     0.00     0.00  caml_stat_free
  0.00      0.32     0.00        2     0.00     0.00  caml_strdup
  0.00      0.32     0.00        2     0.00     0.00  caml_sys_getenv
  0.00      0.32     0.00        1     0.00     0.00  camlArrayLabels__entry
  0.00      0.32     0.00        1     0.00     0.00  camlArray__entry
  0.00      0.32     0.00        1     0.00     0.00  camlBuffer__entry
  0.00      0.32     0.00        1     0.00     0.00  camlBytes__entry
  0.00      0.32     0.00        1     0.00     0.00  camlCallback__entry
  0.00      0.32     0.00        1     0.00     0.00  camlCallback__register_exception_1265
  0.00      0.32     0.00        1     0.00     0.00  camlCamlinternalFormatBasics__entry
  0.00      0.32     0.00        1     0.00     0.00  camlCamlinternalFormat__entry
  0.00      0.32     0.00        1     0.00     0.00  camlCamlinternalFormat__fun_84209
  0.00      0.32     0.00        1     0.00     0.00  camlCamlinternalFormat__fun_84292
  0.00      0.32     0.00        1     0.00     0.00  camlCamlinternalFormat__make_string_padding_62494
  0.00      0.32     0.00        1     0.00     0.00  camlCamlinternalFormat__output_acc_64856
  0.00      0.32     0.00        1     0.00     0.00  camlCamlinternalLazy__entry
  0.00      0.32     0.00        1     0.00     0.00  camlCamlinternalOO__entry
  0.00      0.32     0.00        1     0.00     0.00  camlChar__entry
  0.00      0.32     0.00        1     0.00     0.00  camlDigest__entry
  0.00      0.32     0.00        1     0.00     0.00  camlGc__entry
  0.00      0.32     0.00        1     0.00     0.00  camlHashtbl__MakeSeeded_1584
  0.00      0.32     0.00        1     0.00     0.00  camlHashtbl__Make_1702
  0.00      0.32     0.00        1     0.00     0.00  camlHashtbl__create_inner_2188
  0.00      0.32     0.00        1     0.00     0.00  camlHashtbl__entry
  0.00      0.32     0.00        1     0.00     0.00  camlHashtbl__power_2_above_1333
  0.00      0.32     0.00        1     0.00     0.00  camlImp_lexer__entry
  0.00      0.32     0.00        1     0.00     0.00  camlImp_parser___menhir_errorcase_3235
  0.00      0.32     0.00        1     0.00     0.00  camlImp_parser__entry
  0.00      0.32     0.00        1     0.00     0.00  camlImp_parser__file_top_3242
  0.00      0.32     0.00        1     0.00     0.00  camlImplib__entry
  0.00      0.32     0.00        1     0.00    75.00  camlImplib__mdl_from_string_2099
  0.00      0.32     0.00        1     0.00     0.00  camlInt32__entry
  0.00      0.32     0.00        1     0.00     0.00  camlInt64__entry
  0.00      0.32     0.00        1     0.00     0.27  camlLang__entry
  0.00      0.32     0.00        1     0.00     0.00  camlLexing__entry
  0.00      0.32     0.00        1     0.00     0.00  camlLexing__from_string_1266
  0.00      0.32     0.00        1     0.00     0.00  camlList__entry
  0.00      0.32     0.00        1     0.00     0.00  camlMap__entry
  0.00      0.32     0.00        1     0.00     0.00  camlMarshal__entry
  0.00      0.32     0.00        1     0.00     0.00  camlNativeint__entry
  0.00      0.32     0.00        1     0.00   232.23  camlNc__entry
  0.00      0.32     0.00        1     0.00     0.00  camlObj__entry
  0.00      0.32     0.00        1     0.00     0.00  camlPervasives__at_exit_1391
  0.00      0.32     0.00        1     0.00     0.00  camlPervasives__entry
  0.00      0.32     0.00        1     0.00     0.00  camlPervasives__flush_all_1201
  0.00      0.32     0.00        1     0.00     0.00  camlPervasives__fun_1764
  0.00      0.32     0.00        1     0.00     0.00  camlPervasives__iter_1202
