Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
                0.00    0.00       2/5304        camlBatMap__merge_diverse_2033 [1739]
                0.00    0.00       3/5304        camlBatMap__print_1728 [33]
                0.00    0.00       4/5304        camlBatMap__fun_6106 <cycle 1> [122]
                0.00    0.00       5/5304        camlBatMap__make_1712 <cycle 1> [163]
                0.00    0.00       5/5304        camlBatMap__of_enum_1721 [1757]
                0.00    0.00       6/5304        camlBatMap__print_inner_6003 [126]
                0.00    0.00       6/5304        camlBatMap__merge_2009 [1735]
                0.00    0.00       6/5304        camlBatMap__of_enum_4151 [1760]
                0.00    0.00       8/5304        camlBatBitSet__print_bchar_1227 [487]
                0.00    0.00       8/5304        camlBatMap__filter_1856 [1610]
                0.00    0.00       8/5304        camlBatMap__loop_1893 <cycle 1> [56]
                0.00    0.00       8/5304        camlBatMap__loop_1932 [1721]
                0.00    0.00       8/5304        camlBatMap__modify_def_1942 [1750]
                0.00    0.00      10/5304        camlBatBitSet__toggle_1354 [492]
                0.00    0.00      12/5304        camlBatString__entry <cycle 1> [12]
                0.00    0.00      12/5304        camlBatMap__print_4156 [1776]
                0.00    0.00      14/5304        camlBatBitSet__unset_1351 [495]
                0.00    0.00      14/5304        camlBatMap__filter_map_1863 [1615]
                0.00    0.00      14/5304        camlBatMap__loop_1963 [54]
                0.00    0.00      15/5304        camlBatMap__pop_1990 [1766]
                0.00    0.00      16/5304        camlBatBitSet__fun_1945 [469]
                0.00    0.00      18/5304        camlBatBitSet__set_1348 [490]
                0.00    0.00      20/5304        camlBatMap__fun_6109 [1650]
                0.00    0.00      24/5304        camlBatMap__loop_1979 [102]
                0.00    0.00      34/5304        camlBatInnerShuffle__entry [1073]
                0.00    0.00      42/5304        camlBatMap__filterv_1849 [66]
                0.00    0.00      48/5304        camlBatMap__add_carry_1910 [1556]
                0.00    0.00      51/5304        camlBatPrintf__pr_1652 <cycle 2> [8]
                0.00    0.00      53/5304        camlBatMap__fun_5981 [1643]
                0.00    0.00      56/5304        camlBatMap__modify_opt_1958 [1754]
                0.00    0.00      60/5304        camlBatMap__loop_2014 [82]
                0.00    0.00      63/5304        camlBatInt__entry <cycle 1> [31]
                0.00    0.00      63/5304        camlBatMap__fun_6040 [1647]
                0.00    0.00      69/5304        camlBatBitSet__extend_1328 [468]
                0.00    0.00      76/5304        camlBatBitSet__count_bits_1476 [459]
                0.00    0.00      77/5304        caml_gc_quick_stat [136]
                0.00    0.00      90/5304        camlBatBitSet__mem_1357 <cycle 1> [43]
                0.00    0.00      94/5304        camlBatMap__loop_1915 <cycle 1> [9]
                0.00    0.00      98/5304        camlCamlinternalOO__method_impl_1762 <cycle 1> [40]
                0.00    0.00     108/5304        camlBatBitSet__apply_bit_op_1336 [451]
                0.00    0.00     150/5304        camlBatMap__of_enum_inner_6380 [78]
                0.00    0.00     194/5304        camlBatPrintf__format_string_1365 [1905]
                0.00    0.00     359/5304        camlBatMap__fun_6014 [67]
                0.00    0.00     373/5304        camlBatPrintf__extract_format_1370 [1904]
                0.00    0.00     456/5304        camlBatPrintf__sub_fmt_1419 [10]
                0.00    0.00     486/5304        camlBatFloat__entry [53]
                0.00    0.00     507/5304        camlBatPrintf__fill_format_1397 [18]
                0.00    0.00     616/5304        camlBatPrintf__sub_1423 [1946]
                0.00    0.00     830/5304        camlBatPrintf__pad_string_1357 [1937]
[5]      0.0    0.00    0.00    5304         camlGc__print_stat_1256 [5]
                0.00    0.00   28189/39752       _fini [5430]
-----------------------------------------------
                0.00    0.00       1/2380        camlBatInt64__entry <cycle 1> [158]
                0.00    0.00       1/2380        camlBatNativeint__modulo_1275 [167]
                0.00    0.00    2378/2380        camlHashtbl__find_in_bucket_1449 <cycle 2> [19]
[6]      0.0    0.00    0.00    2380         camlBatInnerWeaktbl__all_value_1450 [6]
-----------------------------------------------
                                1328             camlHashtbl__find_in_bucket_1449 <cycle 2> [19]
                0.00    0.00       1/157         camlBatMap__concat_or_join_2003 [1591]
                0.00    0.00       3/157         camlBatMap__loop_1979 [102]
                0.00    0.00       6/157         camlBatBitSet__extend_1328 [468]
                0.00    0.00      12/157         camlBatBitSet__apply_bit_op_1336 [451]
                0.00    0.00      14/157         camlBatMap__loop_1915 <cycle 1> [9]
                0.00    0.00      28/157         camlBatBitSet__mem_1357 <cycle 1> [43]
[7]      0.0    0.00    0.00    1392         camlBatBitSet__count_1478 <cycle 2> [7]
                                  98             camlHashtbl__find_in_bucket_1449 <cycle 2> [19]
-----------------------------------------------
                                 930             camlHashtbl__find_in_bucket_1449 <cycle 2> [19]
                0.00    0.00      77/157         camlBatMap__fun_6014 [67]
[8]      0.0    0.00    0.00    1007         camlBatPrintf__pr_1652 <cycle 2> [8]
                0.00    0.00      51/5304        camlGc__print_stat_1256 [5]
                0.00    0.00      51/464         camlBatPrintf__incomplete_format_1350 [11]
                                  77             camlHashtbl__find_in_bucket_1449 <cycle 2> [19]
-----------------------------------------------
                                  22             camlBatMap__loop_1883 <cycle 1> [52]
                                  42             camlCamlinternalOO__method_impl_1762 <cycle 1> [40]
                0.00    0.00       1/21841       camlBatMap__merge_diverse_2033 [1739]
                0.00    0.00       3/21841       camlBatMap__pop_1990 [1766]
                0.00    0.00       8/21841       camlBatMap__loop_1932 [1721]
                0.00    0.00      28/21841       camlBatMap__modify_opt_1958 [1754]
                0.00    0.00      53/21841       camlBatMap__fun_5981 [1643]
                0.00    0.00     560/21841       caml_gc_quick_stat [136]
[9]      0.0    0.00    0.00     717         camlBatMap__loop_1915 <cycle 1> [9]
                0.00    0.00     115/136         caml_gc_stat [24]
                0.00    0.00      94/5304        camlGc__print_stat_1256 [5]
                0.00    0.00      14/54          camlBatMap__for_all_1871 [45]
                0.00    0.00      14/14          camlBatMap__loop_1948 [74]
                0.00    0.00      14/53          camlBatMap__clone_1715 [46]
                0.00    0.00      14/51          camlBatMap__fun_5994 [48]
                0.00    0.00      14/20686       camlBatPrintf__parse_1354 [4]
                0.00    0.00      14/157         camlBatBitSet__count_1478 <cycle 2> [7]
                0.00    0.00      14/64          camlBatBitSet__mk_1484 [39]
                0.00    0.00       8/8           camlBatMap__modify_1927 [85]
                                  42             camlBatString__entry <cycle 1> [12]
                                   8             camlBatMap__loop_1883 <cycle 1> [52]
-----------------------------------------------
